household_key,total_sales,total_baskets,total_purchase_days,first_purchase_day,last_purchase_day,coupon_discount_abs,deal_discount_abs,coupon_sales,deal_sales,coupon_baskets,deal_baskets,first_coupon_day,last_coupon_day,coupon_redemptions,redeemed_campaigns,coupon_user_flag,coupon_dependency_ratio,deal_dependency_ratio,pre_90d_sales,post_30d_sales,post_30d_baskets,post_60d_sales,post_60d_baskets,post_90d_sales,post_90d_baskets,full_price_post_90d_sales,deal_post_90d_sales,available_post_days,post_coupon_repeat_flag,full_price_after_coupon_flag,deal_only_after_coupon_flag,post_90d_incremental_vs_pre_90d,subsidy_efficiency,segment,recency_days,frequency_baskets,monetary_sales,avg_basket_value,deal_strategy_recommendation
372,440.42,10,9,8,496,1.0,103.62,0.0,272.52,1.0,10,,,0.0,0.0,False,0.0,0.618773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,215,10,440.42,44.042,Winback Test
2291,439.03,55,53,71,665,0.0,43.58,0.0,131.07,0.0,36,,,0.0,0.0,False,0.0,0.298545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,46,55,439.03,7.982364,Winback Test
1564,437.77,36,35,42,664,0.0,92.71,0.0,195.48,0.0,23,,,0.0,0.0,False,0.0,0.446536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,47,36,437.77,12.160278,Winback Test
579,435.26,23,23,61,705,2.5,185.58,2.5,266.04,1.0,11,,,0.0,0.0,False,0.005744,0.611221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Needs Attention,6,23,435.26,18.924348,No Deal Needed
1341,434.77,13,13,45,637,0.0,220.22,0.0,289.41,0.0,12,,,0.0,0.0,False,0.0,0.665662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,74,13,434.77,33.443846,Winback Test
1162,431.76,33,31,107,497,3.09,98.25,11.48,313.27,3.0,29,,,0.0,0.0,False,0.026589,0.725565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,214,33,431.76,13.083636,Winback Test
711,429.79,36,33,30,709,0.0,67.91,0.0,194.38,0.0,23,,,0.0,0.0,False,0.0,0.452267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Potential Loyalists,2,36,429.79,11.938611,No Deal Needed
645,429.06,49,43,86,542,0.0,96.88,0.0,192.46,0.0,37,,,0.0,0.0,False,0.0,0.448562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,169,49,429.06,8.756327,Winback Test
1280,427.63,24,21,89,689,0.0,60.22,0.0,292.63,0.0,20,,,0.0,0.0,False,0.0,0.684307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,22,24,427.63,17.817917,Winback Test
260,425.04,30,29,112,699,0.0,51.25,0.0,156.95,0.0,21,,,0.0,0.0,False,0.0,0.369259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,12,30,425.04,14.168,Winback Test
1044,423.51,20,19,54,706,7.9,103.84,24.9,267.55,3.0,18,,,0.0,0.0,False,0.058794,0.631744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Needs Attention,5,20,423.51,21.1755,No Deal Needed
466,423.32,17,17,99,670,0.0,57.11,0.0,178.61,0.0,12,,,0.0,0.0,False,0.0,0.421927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,41,17,423.32,24.901176,Winback Test
2101,420.02,10,10,73,703,0.0,59.92,0.0,169.12,0.0,9,,,0.0,0.0,False,0.0,0.402647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Needs Attention,8,10,420.02,42.002,No Deal Needed
2353,412.75,14,14,29,688,9.2,91.72,36.35,196.5,4.0,13,,,0.0,0.0,False,0.088068,0.476075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,23,14,412.75,29.482143,Winback Test
1026,412.54,26,24,7,431,0.0,132.83,0.0,265.16,0.0,25,,,0.0,0.0,False,0.0,0.64275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,280,26,412.54,15.866923,Winback Test
1863,411.45,14,12,12,469,0.0,111.51,0.0,305.73,0.0,14,,,0.0,0.0,False,0.0,0.743055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,242,14,411.45,29.389286,Winback Test
1786,409.73,44,38,69,655,0.0,29.43,0.0,181.54,0.0,28,,,0.0,0.0,False,0.0,0.443072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,56,44,409.73,9.312045,Winback Test
34,407.38,36,34,4,709,1.0,70.84,2.88,215.55,1.0,28,,,0.0,0.0,False,0.00707,0.529113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Potential Loyalists,2,36,407.38,11.316111,No Deal Needed
488,406.96,20,17,69,661,0.0,48.27,0.0,118.67,0.0,11,,,0.0,0.0,False,0.0,0.291601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,50,20,406.96,20.348,Winback Test
1886,406.25,31,26,14,678,1.8,57.3,0.5,156.2,1.0,25,,,0.0,0.0,False,0.001231,0.384492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,33,31,406.25,13.104839,Winback Test
1449,405.83,39,36,106,625,0.0,62.35,0.0,204.83,0.0,26,,,0.0,0.0,False,0.0,0.504719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,86,39,405.83,10.405897,Winback Test
1882,405.54,26,23,65,679,0.0,67.65,0.0,217.93,0.0,20,,,0.0,0.0,False,0.0,0.537382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,32,26,405.54,15.597692,Winback Test
1398,404.96,20,20,91,694,4.5,84.51,15.98,196.33,2.0,16,,,0.0,0.0,False,0.039461,0.484813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,17,20,404.96,20.248,Winback Test
2476,403.26,14,13,113,481,0.0,42.59,0.0,276.48,0.0,13,,,0.0,0.0,False,0.0,0.685612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,230,14,403.26,28.804286,Winback Test
532,401.88,23,20,115,649,0.0,38.7,0.0,113.88,0.0,9,,,0.0,0.0,False,0.0,0.283368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,62,23,401.88,17.473043,Winback Test
272,401.62,7,7,79,457,2.77,75.57,2.77,225.95,1.0,7,,,0.0,0.0,False,0.006897,0.562596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,254,7,401.62,57.374286,Winback Test
1441,401.47,13,13,20,634,0.0,60.29,0.0,181.65,0.0,12,,,0.0,0.0,False,0.0,0.452462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,77,13,401.47,30.882308,Winback Test
1561,401.41,6,5,87,611,0.0,55.68,0.0,148.18,0.0,5,,,0.0,0.0,False,0.0,0.369149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,100,6,401.41,66.901667,Winback Test
60,400.94,8,8,91,697,0.0,216.37,0.0,211.78,0.0,6,,,0.0,0.0,False,0.0,0.528209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,14,8,400.94,50.1175,Winback Test
1704,400.83,46,35,7,710,0.0,76.64,0.0,223.04,0.0,35,,,0.0,0.0,False,0.0,0.556445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Potential Loyalists,1,46,400.83,8.713696,No Deal Needed
1644,397.48,26,15,113,711,0.0,63.35,0.0,194.06,0.0,15,,,0.0,0.0,False,0.0,0.488226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,New or Recent,0,26,397.48,15.287692,No Deal Needed
66,395.95,29,23,118,685,0.0,82.78,0.0,193.53,0.0,24,,,0.0,0.0,False,0.0,0.488774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,26,29,395.95,13.653448,Winback Test
1799,395.47,52,51,61,697,0.0,22.06,0.0,125.3,0.0,24,,,0.0,0.0,False,0.0,0.316838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,14,52,395.47,7.605192,Winback Test
